"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Sawfly, Wasp, Bee, or Ant","Bombus variabilis","Variable Cuckoo Bumble Bee","SR","none","SH","G1G2","Yancey","Historical","open habitats, fields"
"Vascular Plant","Botrychium matricariifolium","Daisy-leaf Moonwort","SR-P","none","S1","G5","Yancey","Current","cove forests"
"Moss","Brachythecium oedipodium","Sprawling Grass Moss","W7","none","S2?","G5","Yancey","Historical","on humus, rocks in moist, shaded areas, spruce-fir forest"
"Moss","Brachythecium rotaeanum","Rota's Feather Moss","SR-D","none","S1","G5","Yancey","Current","on bark or rock in cove forests"
"Moss","Brachythecium salebrosum","Smooth-stalked Yellow Feather Moss","W7","none","S2?","G5","Yancey","Historical","shaded sills, rocks, bases of trees, and logs in disturbed places"
"Vascular Plant","Calamagrostis cainii","Cain's Reedgrass","E","none","S1","G1","Yancey","Current","high elevation rocky summits"
"Dragonfly or Damselfly","Calopteryx amata","Superb Jewelwing","SR","none","S1S2","G5","Yancey","Current","cold, shallow, rocky rivers"
"Vascular Plant","Caltha palustris var. palustris","Marsh-marigold","E","none","S1","G5T5","Yancey","Historical","boggy sites"
"Natural Community","Canada Hemlock Forest (Typic Subtype)","","","none","S1S2","G3G4","Yancey","Current","null"
"Vascular Plant","Cardamine clematitis","Mountain Bittercress","SR-T","none","S2S3","G3","Yancey","Current","high elevation seeps, shaded outcrops, and streambanks"
"Vascular Plant","Cardamine rotundifolia","Mountain Watercress","SR-P","none","S2","G4","Yancey","Current","seeps, banks of mountain brooks"
"Vascular Plant","Carex albursina","White Bear Sedge","W7","none","S2","G5","Yancey","Current","rich cove forests, over mafic or calcareous rocks"
"Vascular Plant","Carex buxbaumii","Brown Bog Sedge","SC-V","none","S2","G5","Yancey","Historical","bogs and fens"
"Vascular Plant","Carex cristatella","Small-crested Sedge","SC-V","none","S1","G5","Yancey","Current","grassy balds, high elevlation seepage wetlands"
"Vascular Plant","Carex echinata ssp. echinata","Star Sedge","W1","none","S2S3","G5T5","Yancey","Current","bogs and seeps"
"Vascular Plant","Carex fraseriana (syn. Cymophyllus fraserianus)","Fraser's Sedge","W1","none","S3","G4","Yancey","Historical","forests"
"Vascular Plant","Carex hitchcockiana","Hitchcock's Sedge","SR-P","none","S1","G5","Yancey","Current","moist to dryish forests over calcareous or mafic rocks"
"Vascular Plant","Carex leptonervia","A Wood Sedge","W1","none","S3","G5","Yancey","Current","rich cove forests and seepage slopes"
"Vascular Plant","Carex misera","Wretched Sedge","W1","none","S3","G3","Yancey","Current","high elevation rock outcrops"
"Vascular Plant","Carex roanensis","Roan Sedge","SR-T","none","S2","G3","Yancey","Current","forests"
"Vascular Plant","Carex ruthii","Ruth's Sedge","W1","none","S3","G3G4","Yancey","Historical","seeps and bogs"
"Natural Community","Carolina Hemlock Forest (Mesic Subtype)","","","none","S1","G1G2","Yancey","Current","null"
"Freshwater Fish","Carpiodes carpio","River Carpsucker","SC","none","S1","G5","Yancey","Current","French Broad and Cane rivers"
"Freshwater Fish","Carpiodes cyprinus","Quillback","SR","none","S2","G5","Yancey","Current","native to French Broad drainage, introduced population on Atlantic Slope"
"Bird","Catharus guttatus","Hermit Thrush","SR","none","S3B,S5N","G5","Yancey","Current","spruce-fir forests; sparingly in northern hardwood forests [breeding evidence only]"
"Bird","Catharus ustulatus","Swainson's Thrush","SR","none","S1B,S5N","G5","Yancey","Current","spruce-fir forests [breeding evidence only]"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G3?","Yancey","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Vascular Plant","Celastrus scandens","American Bittersweet","E","none","S2?","G5","Yancey","Historical","cove forests and rich woods"
"Vascular Plant","Celtis occidentalis","Mountain Hackberry","W7","none","S2","G5","Yancey","Historical","rocky woodlands and mafic cliffs"
"Liverwort","Cephalozia pleniceps var. pleniceps","A Liverwort","SR-D","none","SH","G5T5","Yancey","Historical","moist soil near a spring"
"Bird","Certhia americana","Brown Creeper","SC","none","S3B,S5N","G5","Yancey","Current","high elevation forests, favoring spruce-fir mixed with hardwoods [breeding evidence only]"
"Lichen","Cetrelia cetrarioides","Sea Storm Lichen","SR-D","none","S2","G4G5","Yancey","Historical","on trees and mossy rocks in forests with an open understory; may prefer old growth or very mature forests"
"Vascular Plant","Chamerion angustifolium ssp. circumvagum","Fireweed","E","none","S1","G5T5","Yancey","Historical","grassy balds, roadsides, disturbed areas"
"Vascular Plant","Chelone cuthbertii","Cuthbert's Turtlehead","SC-V","none","S3","G3","Yancey","Current","bogs"
"Natural Community","Chestnut Oak Forest (Dry Heath Subtype)","","","none","S5","G5","Yancey","Current","null"
"Natural Community","Chestnut Oak Forest (Herb Subtype)","","","none","S4","G4G5","Yancey","Current","null"
"Natural Community","Chestnut Oak Forest (Mesic Subtype)","","","none","S3S4","G4","Yancey","Current","null"
"Vascular Plant","Chrysosplenium americanum","Golden Saxifrage","W1","none","S3","G5","Yancey","Current","seeps"
"Vascular Plant","Cinna latifolia","Slender Wood-reed","W7","none","S1S2","G5","Yancey","Historical","high elevation forests and openings"
"Moss","Cirriphyllum piliferum","Long Leaf Mustache Moss","SR-P","none","S1","G5","Yancey","Current","moist rocks, wet by seepage or waterfall spray"
"Vascular Plant","Cladium mariscoides","Twig-rush","W1","none","S3","G5","Yancey","Current","bogs, fens, brackish marshes, sandhill seepage bogs (Alleghany, Ashe, Camden, Carteret, Columbus, Craven, Cumberland, Currituck, Dare, Harnett, Hoke, Moore, New Hanover, Onslow, Pender, Watauga, Yancey)"
"Bird","Coccyzus erythropthalmus","Black-billed Cuckoo","SR","none","S2B","G5","Yancey","Current","deciduous forests, mainly at higher elevations [breeding evidence only]"
"Lichen","Coniarthonia kermesina","Hot Dots","SR-T","none","S1","GNR","Yancey","Current","high elevation Spruce-Fir forests"
"Vascular Plant","Corallorhiza maculata var. maculata","Spotted Coralroot","SR-P","none","S1","G5T5","Yancey","Current","northern hardwood forests"
"Vascular Plant","Coreopsis latifolia","Broadleaf Coreopsis","W1","none","S3","G3","Yancey","Current","cove forests and other rich woods"
"Bird","Corvus corax","Common Raven","W2","none","S3","G5","Yancey","Current","cliffs or ledges for nesting; forests or fields (mainly at high elevations) for foraging [breeding evidence only]"
"Mammal","Corynorhinus townsendii virginianus","Virginia Big-eared Bat","E","E","S1","G4T3","Yancey","Historical","roosts in caves especially in limestone areas, rarely in mines"
"Freshwater Fish","Cottus carolinae","Banded Sculpin","SC","none","S1","G5","Yancey","Historical","French Broad and Pigeon drainages"
"Vascular Plant","Crocanthemum bicknellii","Plains Sunrose","SC-V","none","S1","G5","Yancey","Current","rock outcrops, glades, fens"
"Vascular Plant","Crocanthemum propinquum","Creeping Sunrose","T","none","S1","G4","Yancey","Current","rock outcrops, glades"
"Reptile","Crotalus horridus","Timber Rattlesnake","SC","none","S3","G4","Yancey","Historical","wetland forests in the Coastal Plain; rocky, upland forests elsewhere"
"Amphibian","Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender","SC","none","S3","G3T2","Yancey","Current","large and clear fast-flowing streams"
"Vascular Plant","Dendrolycopodium hickeyi","Pennsylvania Ground-pine","SR-P","none","S2?","G5","Yancey","Current","openings, balds, bog margins, and high elevation forests"
"Amphibian","Desmognathus organi","Northern Pygmy Salamander","SR","none","S2S3","G3","Yancey","Current","spruce-fir and other high elevation forests; northeast of the French Broad River "
"Vascular Plant","Dicentra eximia","Bleeding Heart","SR-P","none","S3","G4","Yancey","Current","rock outcrops"
"Vascular Plant","Dichanthelium bicknellii","Bicknell's Witch Grass","SR-P","none","S2","G4?Q","Yancey","Current","shaded to open woodlands"
"Moss","Dichodontium pellucidum","Transparent Fork Moss","SR-P","none","SH","G5","Yancey","Historical","seepage or spray zones of waterfalls on mafic or calcareous rocks"
"Moss","Dicranum bonjeanii","Thin-rib Curved-tail Moss","W7","none","S2?","G5","Yancey","Historical","mainly in eutrophic fens, sometimes on calcareous soil or rock"
"Moss","Dicranum fuscescens","Fuscous Moss","W7","none","S2?","G5","Yancey","Current","on trees, logs, soil, rock, and humus in woodlands, spruce-fir forest, occasionally bogs"
"Moss","Dicranum undulatum","Bog Broom-moss","SR-D","none","S1","G5","Yancey","Historical","bogs, seeps"
"Vascular Plant","Diervilla rivularis","Riverbank Bush-honeysuckle","T","none","SU","G3","Yancey","Current","forests"
"Liverwort","Diplophyllum andrewsii","A Liverwort","W7","none","S2","G3","Yancey","Historical","on soil or rocks on banks"
"Liverwort","Diplophyllum taxifolium var. taxifolium","A Liverwort","W7","none","S2?","G5T5","Yancey","Historical","crevices and underledges of rock outcrops, mostly in spruce-fir forests at high elevations"
"Freshwater or Terrestrial Gastropod","Discus nigrimontanus","Black Mountain Disc","SR","none","S2S3","G4","Yancey","Current","talus slopes in hardwood forests"
"Vascular Plant","Dryopteris carthusiana","Spinulose Woodfern","W7","none","S2","G5","Yancey","Historical","swampy woods"
"Vascular Plant","Dryopteris cristata","Crested Woodfern","W1","none","S3","G5","Yancey","Current","bogs, wet woods"
"Vascular Plant","Dryopteris goldiana","Goldie's Woodfern","W1","none","S3","G4G5","Yancey","Current","rich, moist woods"
"Moth","Dysstroma hersiliata","Orange-barred Carpet Moth","SR","none","S2S3","G5","Yancey","Current","high elevation (greater than 3,000 ft) mesic forests, host plant Ribes spp."
"Vascular Plant","Elodea nuttallii","Nuttall's Elodea","W7","none","S2?","G5","Yancey","Historical","lakes, ponds, and streams"
"Bird","Empidonax alnorum","Alder Flycatcher","SR","none","S2B","G5","Yancey","Current","high elevation shrub/sapling thickets [breeding evidence only]"
"Bird","Empidonax minimus","Least Flycatcher","W2","none","S3B","G5","Yancey","Current","open hardwood forests, groves, streamside trees [breeding season only]"
"Bird","Empidonax traillii","Willow Flycatcher","W2","none","S3B","G5","Yancey","Current","wet thickets in open country, often along streams in broad valleys [breeding season only]"
"Sawfly, Wasp, Bee, or Ant","Epeolus banksi","Banks' Epeolus","W3","none","SH","GNR","Yancey","Historical","documented on Fragaria, Symphyotrichum, and Solidago"
"Vascular Plant","Epilobium ciliatum ssp. ciliatum","American Willow-herb","SR-P","none","S2","G5T5","Yancey","Current","seeps and bogs"
"Freshwater Fish","Erimystax insignis","Blotched Chub","T","none","S2","G4","Yancey","Current","primarily French Broad drainage"
"Vascular Plant","Eriophorum virginicum","Cottongrass","W1","none","S3","G5","Yancey","Current","peaty sites - bogs, fens, pocosins, seeps"
"Freshwater Fish","Etheostoma acuticeps","Sharphead Darter","T","none","S1","G3","Yancey","Current","Toe and Cane drainages"
"Fly","Eulonchus marialiciae","Mary Alice's Small-headed Fly","SR","none","S2","G2G3","Yancey","Current","high elevation hardwood-hemlock forests (endemic to North Carolina)"
"Vascular Plant","Euphorbia purpurea","Glade Spurge","SR-T","none","S3","G3","Yancey","Current","forests, especially over mafic rock"
"Vascular Plant","Eutrochium maculatum var. maculatum","Spotted Joe-pye Weed","W7","none","S3?","G5T5","Yancey","Historical","wet calcareous meadows, cove forests, grassy balds"
"Bird","Falco peregrinus anatum","American Peregrine Falcon","E","none","S1B,S2N","G4T4","Yancey","Current","cliffs (nesting); coastal ponds and mudflats (foraging in winter) [breeding evidence; regular wintering sites]"
"Vascular Plant","Filipendula rubra","Queen-of-the-prairie","E","none","S1","G4G5","Yancey","Current","bogs, wet meadows"
"Natural Community","Fraser Fir Forest (Herb Subtype)","","","none","S1","G1","Yancey","Current","null"
"Natural Community","Fraser Fir Forest (Rhododendron Subtype)","","","none","S1","G1","Yancey","Current","null"
"Liverwort","Frullania appalachiana","A Liverwort","SR-L","none","S1?","G3G4","Yancey","Current","on bark of hardwoods in spruce-fir forests"
"Liverwort","Frullania oakesiana","A Liverwort","W7","none","SH","G5","Yancey","Historical","on bark of conifers or deciduous trees at high elevations"
"Arachnid","Fumontana deprehendor","a Harvestman","W3","none","S3?","G1G2","Yancey","Current","rich cove forests"
"Moth","Gazoryctra sciophanes","a Ghost Moth","SR","none","S1?","GU","Yancey","Current","spruce-fir forests (Jackson)"
"Vascular Plant","Gentiana austromontana","Appalachian Gentian","W1","none","S2S3","G3","Yancey","Current","mountain forests and grassy balds"
"Vascular Plant","Geum radiatum","Spreading Avens","E","E","S2","G2","Yancey","Current","high elevation rocky summits"
"Mammal","Glaucomys sabrinus coloratus","Carolina Northern Flying Squirrel","E","E","S2","G5T2","Yancey","Current","high elevation forests, mainly spruce-fir"
"Freshwater or Terrestrial Gastropod","Glyphyalinia clingmani","Fragile Glyph","E","none","S1","G1G2","Yancey","Historical","wet leaf litter associated with seepage runs; Black Mountains (endemic to North Carolina)"
"Freshwater or Terrestrial Gastropod","Glyphyalinia vanattai","Honey Glyph","SC","none","S1","G2G3","Yancey","Historical","wet leaf litter next to seeps or streams"
"Freshwater or Terrestrial Gastropod","Glyphyalinia wheatleyi","Bright Glyph","W2","none","S3","G5","Yancey","Current","a variety of hardwood forests"
"Reptile","Glyptemys muhlenbergii","Bog Turtle","T","T(S/A)","S2","G2G3","Yancey","Current","bogs, wet pastures, wet thickets"
"Vascular Plant","Goodyera repens","Lesser Rattlesnake Orchid","W1","none","S2S3","G5","Yancey","Current","moist, acid forests, especially under rhododendrons and conifers"
"Natural Community","Grassy Bald (Grass Subtype)","","","none","S1","G1","Yancey","Current","null"
"Lichen","Gymnoderma lineare","Rock Gnome Lichen","E","E","S3","G3","Yancey","Current","high elevation rock outcrops, outcrops in humid gorges"
"Bird","Haliaeetus leucocephalus","Bald Eagle","T","BGPA","S3B,S3N","G5","Yancey","Current","mature forests near large bodies of water (nesting); rivers, lakes, and sounds (foraging) [breeding evidence only]"
"Natural Community","Heath Bald (Catawba Rhododendron Subtype)","","","none","S2","G2","Yancey","Current","null"
"Freshwater or Terrestrial Gastropod","Hendersonia occulta","Cherrystone Drop","SR","none","S2S3","G4","Yancey","Obscure","river bluffs, talus slopes, and other forested areas with high pH soils"
"Butterfly","Heraclides cresphontes","Eastern Giant Swallowtail","SR","none","S2","G5","Yancey","Current","primarily coastal in maritime forests or thickets; also in foothills and mountains near hoptree; host plants -- prickly-ash (Zanthoxylum), hoptree (Ptelea)"
"Moss","Herzogiella turfacea","Flat Stump Moss","SR-P","none","S1?","G5","Yancey","Current","on bases of trees and rotten logs in coniferous and hardwood forests "
"Butterfly","Hesperia sassacus","Indian Skipper","W2","none","S3","G5","Yancey","Historical","old fields, clearings, wood margins, mainly at high elevations; host plants -- grasses"
"Lichen","Heterodermia appalachensis","Appalachian Fringe Lichen","W1","none","S2S3","G2?","Yancey","Historical","dry forest on hardwood bark or rock faces"
"Natural Community","High Elevation Birch Boulderfield Forest","","","none","S2","G3","Yancey","Current","null"
"Natural Community","High Elevation Boggy Seep","","","none","S2","G2","Yancey","Current","null"
"Natural Community","High Elevation Red Oak Forest (Heath Subtype)","","","none","S3","G4","Yancey","Current","null"
"Natural Community","High Elevation Red Oak Forest (Rich Subtype)","","","none","S3","G2","Yancey","Current","null"
"Natural Community","High Elevation Red Oak Forest (Typic Herb Subtype)","","","none","S3","G4","Yancey","Current","null"
"Natural Community","High Elevation Rocky Summit (High Peak Lichen Subtype)","","","none","S1","G2?","Yancey","Obscure","null"
"Natural Community","High Elevation Rocky Summit (High Peak Subtype)","","","none","S1","G1","Yancey","Current","null"
"Natural Community","High Elevation Rocky Summit (Typic Subtype)","","","none","S2","G2","Yancey","Current","null"
"Vascular Plant","Houstonia montana","Roan Mountain Bluet","E","E","S2","G5T2","Yancey","Current","high elevation rocky summits, grassy balds"
"Vascular Plant","Huperzia appressa","Appalachian Fir-clubmoss","W1","none","S3","G5","Yancey","Current","high elevation rocky summits, seeps, fens"
"Vascular Plant","Hydrastis canadensis","Goldenseal","SC-V","none","S3","G3G4","Yancey","Current","cove forests, other rich deciduous forests"
"Moth","Hydrelia condensata","a Carpet Moth","W3","none","SU","G4","Yancey","Current","no habitat or locality information"
"Vascular Plant","Hydrophyllum macrophyllum","Largeleaf Waterleaf","W1","none","S3","G5","Yancey","Current","rich woods, especially rocky calcareous forests and cliffs"
"Moss","Hylocomiastrum umbratum","Shaded Feather Moss","SR-P","none","SH","G5","Yancey","Historical","on trees and rocks in moist forests, especially under spruce-fir"
"Dragonfly or Damselfly","Hylogomphus adelphus","Mustached Clubtail","SR","none","S1S2","G5","Yancey","Current","small rivers with rapids"
"Vascular Plant","Hypericum graveolens","Mountain St. John's-wort","W1","none","S2S3","G3","Yancey","Historical","high elevation balds, outcrops, seeps"
"Vascular Plant","Hypericum mitchellianum","Mitchell's St. John's-wort","W1","none","S2S3","G3","Yancey","Current","high elevation balds, outcrops, seeps"
"Moss","Hypnum fauriei","A Cedar Moss","W7","none","S2?","G5","Yancey","Current","logs and tree bases in deciduous forest"
"Moss","Hypnum plicatulum","A Cedar Moss","W7","none","S2?","G5","Yancey","Historical","epiphytic, terrestrial, and on humus over rock"
"Arachnid","Hypochilus sheari","a Lampshade Weaver","SR","none","S1","G2","Yancey","Historical","rock outcrops (endemic to North Carolina)"
"Lichen","Hypotrachyna sinuosa","Green Loop Lichen","SR-D","none","SH","G3G5","Yancey","Historical","on twigs or small branches in humid but open forests"
"Lichen","Hypotrachyna virginica","Virginia Loop Lichen","SC-V","none","S1S2","G1G2","Yancey","Current","on twigs or rocks in open forests at high elevations"
"Freshwater Fish","Ichthyomyzon bdellium","Ohio Lamprey","SC","none","S1","G3G4","Yancey","Current","French Broad and Cane drainages"
"Freshwater Fish","Ictiobus bubalus","Smallmouth Buffalo","SR","none","S1","G5","Yancey","Current","French Broad drainage [populations in Atlantic Slope are not tracked]"
"Stonefly","Isoperla stewarti","a stripetail","SR","none","S1","G1","Yancey","Current","streams and springs"
"Vascular Plant","Isotria medeoloides","Small Whorled Pogonia","T","T","S1","G2G3","Yancey","Current","forests, especially with white pine"
"Vascular Plant","Isotria verticillata","Large Whorled Pogonia","W1","none","S2S3","G5","Yancey","Current","forests"
"Vascular Plant","Juglans cinerea","Butternut","W5","none","S2S3","G3","Yancey","Current","cove forests, rich woods"
"Vascular Plant","Juncus brevicaudatus","Mountain Rush","W7","none","S1?","G5","Yancey","Historical","bogs and seeps at high elevations"
"Reptile","Lampropeltis triangulum","Milk Snake","W2","none","S3","G5","Yancey","Current","wooded slopes, pastures, meadows, especially in rocky areas"
"Freshwater Bivalve","Lampsilis fasciola","Wavyrayed Lampmussel","SC","none","S2","G4","Yancey","Current","French Broad, Pigeon, Hiwassee, and Little Tennessee drainages"
"Mammal","Lasiurus cinereus","Hoary Bat","SR","none","S3S4","G3G4","Yancey","Current","mostly mid elevation to high elevation forests, sparingly into the Piedmont (breeding season only)"
"Lichen","Lecanora masana","Masa's dots","W1","none","S3","GNR","Yancey","Current","high elevation firs, hardwoods, and rhododendrons"
"Lichen","Lepraria lanata","Appalachian pillows","W1","none","S2S3","GNR","Yancey","Current","shaded, high elevation rock outcrops"
"Moss","Leptodontium flexifolium","Pale-margined Leptodontium","SR-D","none","S1","G5","Yancey","Historical","high elevation rocky summits and moist calcareous rocks"
"Moss","Leptohymenium sharpii","Mount Leconte Moss","SR-L","none","S1","G1","Yancey","Current","moist rocks in spruce-fir forests"
"Liverwort","Leptoscyphus cuneifolius","A Liverwort","SR-D","none","S2","G4G5T4T5","Yancey","Current","on bark of Fraser Firs or on moist rock, in spruce-fir forests"
"Moss","Leskeella nervosa","Common Fine Moss","SR-O","none","S1S2","G5","Yancey","Current","dry or moist, shaded substrates"
"Vascular Plant","Lilium grayi","Gray's Lily","T","none","S1S2","G1G2","Yancey","Current","bogs, wet meadows, seeps, grassy balds, high elevation forests"
"Vascular Plant","Lilium philadelphicum var. philadelphicum","Wood Lily","E","none","S1S2","G5T4T5","Yancey","Current","grassy balds, glades"
"Vascular Plant","Liparis loeselii","Fen Orchid","E","none","S1","G5","Yancey","Current","seeps, bay swamps"
"Moth","Lithophane georgii","Large Grey Pinion","SR","none","S1S2","G5","Yancey","Current","spruce-fir forests"
"Lichen","Lobarina scrobiculata","Textured Lungwort","SR-P","none","S2?","G5","Yancey","Historical","trunks of deciduous trees, on moss-covered rocks, and occasionally on conifers, primarily in areas of high relative humidity"
"Vascular Plant","Lonicera canadensis","American Fly-honeysuckle","SR-P","none","S2","G5","Yancey","Current","bogs, moist woods"
"Natural Community","Low Elevation Rocky Summit (Acidic Subtype)","","","none","S2","G3?","Yancey","Current","null"
"Bird","Loxia curvirostra","Red Crossbill","SC","none","S2","G5","Yancey","Current","coniferous forests, preferably spruce-fir"
"Freshwater Fish","Luxilus chrysocephalus","Striped Shiner","SC","none","S1","G5","Yancey","Current","French Broad and Hiwassee drainages"
"Caddisfly","Manophylax altus","Mount Mitchell Caddisfly","SR","none","S1","G1","Yancey","Historical","moist vertical rockfaces"
"Vascular Plant","Meehania cordata","Meehania","SR-P","none","S2","G5","Yancey","Current","cove forests, boulderfields"
"Lichen","Melanelia stygia","Alpine Camouflage Lichen","SR-D","none","S2S3","G5","Yancey","Current","high elevation rocky summits"
"Grasshopper or Katydid","Melanoplus acrophilus","a Spur-throat Grasshopper","W3","none","S2S3","G2G3","Yancey","Historical","montane forests?; endemic to the southern Appalachians"
"Grasshopper or Katydid","Melanoplus hubbelli","Hubbell's Melanoplus","W3","none","SU","G4","Yancey","Current","dry woodlands, including second growth"
"Grasshopper or Katydid","Melanoplus pachycercus","a Spur-throat Grasshopper","SR","none","S1S2","G2G3","Yancey","Current","grassy balds and woodland openings and margins (Avery, Macon, Mitchell, Yancey)"
"Grasshopper or Katydid","Melanoplus walshii","Walsh's Locust","W3","none","SU","G4G5","Yancey","Current","thickets in and near deciduous woodlands at mid- to high elevations; only recent records for Mount Mitchell"
"Freshwater or Terrestrial Gastropod","Mesodon andrewsae","Balsam Globe","SR","none","S2S3","G3","Yancey","Current","high elevation forests, from Madison County to southwestern Virginia"
"Freshwater or Terrestrial Gastropod","Mesomphix andrewsae","Mountain Button","W2","none","S3S4","G3G4","Yancey","Current","acidic upland hardwood forests"
"Liverwort","Metzgeria consanguinea","A Liverwort","SR-D","none","S1S2","G4","Yancey","Current","Fraser fir forests and hemlock forests"
"Liverwort","Metzgeria violacea","A Liverwort","SR-D","none","S1S2","G4","Yancey","Current","bark of trees"
"Vascular Plant","Micranthes careyana","Carey Saxifrage","W1","none","S3","G3","Yancey","Historical","seepy rock faces"
"Vascular Plant","Micranthes caroliniana","Carolina Saxifrage","SR-T","none","S3","G3","Yancey","Current","high to middle elevation moist cliffs and rock outcrops"
"Arachnid","Microhexura montivaga","Spruce-fir Moss Spider","SR","E","S1","G2","Yancey","Current","in moss of spruce-fir forests (endemic to North Carolina and adjacent Tennessee)"
"Mammal","Microtus chrotorrhinus carolinensis","Southern Rock Vole","SC","none","S3","G5T3","Yancey","Historical","rocky areas at high elevations, forests or fields"
"Vascular Plant","Monotropsis odorata","Sweet Pinesap","SR-O","none","S3","G3","Yancey","Current","dry forests and bluffs"
"Natural Community","Montane Alluvial Forest (Small River Subtype)","","","none","S1","G3","Yancey","Current","null"
"Natural Community","Montane Cliff (Acidic Subtype)","","","none","S3","G3G4","Yancey","Current","null"
"Natural Community","Montane Cliff (Calcareous Subtype)","","","none","S1","G3G4","Yancey","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Acidic Subtype)","","","none","S4S5","G4G5","Yancey","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Basic Subtype)","","","none","S3","G3","Yancey","Current","null"
"Freshwater Fish","Moxostoma breviceps","Smallmouth Redhorse","SR","none","S2","G5","Yancey","Current","Tennessee drainages"
"Mammal","Mustela nivalis","Least Weasel","SR-G","none","S2","G5","Yancey","Current","fields and forests, mostly at high elevations"
"Mammal","Myotis grisescens","Gray Bat","E","E","S1","G3G4","Yancey","Current","roosts in caves; forages mainly over open water"
"Mammal","Myotis leibii","Eastern Small-footed Bat","SC","none","S2","G4","Yancey","Current","roosts in hollow trees and in rock crevices (warmer months), in caves and mines (winter)"
"Mammal","Myotis lucifugus","Little Brown Bat","E","none","S2","G3G4","Yancey","Current","roosts in buildings (summer), in caves and mines (winter)"
"Mammal","Myotis septentrionalis","Northern Long-eared Bat","T","E","S2","G2G3","Yancey","Current","roosts in hollow trees and buildings (warmer months), in caves and mines (winter); mainly in the mountains"
"Vascular Plant","Nabalus roanensis","Roan Rattlesnakeroot","W1","none","S3","G3","Yancey","Current","grassy balds, high elevation forests and outcrops"
"Mammal","Neogale frenata (syn. Mustela frenata)","Long-tailed Weasel","W3","none","S3","G5","Yancey","Current","forests, brushy areas"
"Freshwater or Terrestrial Gastropod","Neohelix dentifera","Big-tooth Whitelip","W3","none","S3S4","G4G5","Yancey","Current","wooded mountainsides, often where acidic"
"Liverwort","Neoorthocaulis attenuatus (syn. Barbilophozia attenuata)","A Liverwort","W7","none","S2","G5","Yancey","Historical","on rocks in spruce-fir forests"
"Mammal","Neotoma magister","Allegheny Woodrat","SC","none","S2S3","G3G4","Yancey","Current","rocky places and abandoned buildings in deciduous or mixed forests in the northern mountains and adjacent Piedmont "
"Arachnid","Nesticus crosbyi","a Cave Cobweb Spider","SR","none","S2","G1?","Yancey","Current","spruce-fir forests (endemic to North Carolina)"
"Arachnid","Nesticus gertschi","a Cave Cobweb Spider","SR","none","S2","G1G2","Yancey","Current","caves"
"Beetle","Nicrophorus americanus","American Burying Beetle","SR","E","SH","G3","Yancey","Historical","sites with abundance of small vertebrate carrion"
"Natural Community","Northern Hardwood Forest (Beech Gap Subtype)","","","none","S1S2","G1","Yancey","Current","null"
"Natural Community","Northern Hardwood Forest (Rich Subtype)","","","none","S3","G3","Yancey","Current","null"
"Natural Community","Northern Hardwood Forest (Typic Subtype)","","","none","S3","G3G4","Yancey","Current","null"
"Freshwater Fish","Notropis micropteryx","Highland Shiner","SR","none","S2","G5","Yancey","Current","French Broad, Little Tennessee, and Hiwassee drainages"
"Freshwater Fish","Notropis photogenis","Silver Shiner","W5","none","S3","G5","Yancey","Current","mountain drainages (except Pigeon)"
"Freshwater Fish","Notropis rubricroceus","Saffron Shiner","W5","none","S3","G4G5","Yancey","Current","most mountain drainages, but mainly French Broad and Toe"
"Freshwater Fish","Notropis volucellus","Mimic Shiner","T","none","S2","G5","Yancey","Current","New, French Broad, Little Tennessee, Tar, and Neuse drainages"
"Freshwater Fish","Noturus flavus","Stonecat","E","none","S1","G5","Yancey","Current","Nolichucky, French Broad, and Little Tennessee drainages"
"Lichen","Opegrapha moroziana","Moroziana's Scribble Lichen","W7","none","SH","G1?","Yancey","Current","granitic rocks and cliffs"
"Dragonfly or Damselfly","Ophiogomphus mainensis","Maine Snaketail","W2","none","S3","G4G5","Yancey","Current","rapids of rivers and streams (Ashe, Buncombe, Burke, Caldwell, Haywood, Jackson, Madison, Mitchell, Swain*, Watauga, Wilkes, Yancey*)"
"Vascular Plant","Packera crawfordii","Bog Ragwort","E","none","S1","G2","Yancey","Current","bogs, fens, and wet savannas"
"Vascular Plant","Packera schweinitziana","Schweinitz's Ragwort","T","none","S2","G5?","Yancey","Current","grassy balds"
"Caddisfly","Padunia jeanae","a Caddisfly","W2","none","S3","G4","Yancey","Current","streams and rivers"
"Freshwater or Terrestrial Gastropod","Pallifera hemphilli","Black Mantleslug","SC","none","S2S3","G4","Yancey","Historical","high elevation forests, mainly spruce-fir"
"Vascular Plant","Palustricodon aparinoides var. aparinoides","Marsh Bellflower","T","none","S2","G5TNR","Yancey","Current","bogs and other wet, open sites"
"Vascular Plant","Panax quinquefolius","Ginseng","W1","none","S3S4","G3G4","Yancey","Current","cove forests, other rich forests"
"Freshwater or Terrestrial Gastropod","Paravitrea andrewsae","High Mountain Supercoil","SC","none","S2","G2","Yancey","Current","cove forests with rocky slopes; northern half of the mountains"
